;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2000;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2000 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.*;d‚p. r‚elles;mobilis. du; + am.dette*/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;4 791;1 973;4 739;1 411;1 027;471;27,24%;86,33%;112,70%;29,76%;22,00%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;6 309;3 385;7 093;1 331;2 183;1 160;54,17%;78,68%;103,86%;18,76%;17,74%;
;SCHILTIGHEIM;30 991;;A;3 547;2 199;4 069;881;3 178;789;58,74%;55,48%;96,29%;21,64%;11,53%;
;ILLKIRCH GRAF.;25 183;;A;3 544;3 049;5 069;1 744;5 766;744;54,00%;64,00%;84,00%;34,00%;114,00%;
;LINGOLSHEIM;16 860;;A ;2 643;1 311;3 219;361;6 261;905;58,03%;49,76%;99,98%;11,23%;194,54%;
;BISCHHEIM;16 326; ;A;3 568;1 859;4 636;1 081;6 738;1 250;54,43%;66,53%;88,47%;23,31%;145,35%;
;OSTWALD;10 820;;A;3 168;1 525;3 710;675;3 874;1 235;64,72%;47,92%;100,00%;18,20%;104,41%;
;HOENHEIM;10 718;;A;2 413;1 210;2 835;505;1 199;929;53,94%;47,34%;88,61%;17,83%;42,29%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 123;;B;2 938;1 793;3 236;2 974;5 009;438;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;2 477;1 269;3 072;1 630;1 047;519;;;;;;
;VENDENHEIM;5 629;;B;2 879;2 699;4 134;1 415;0;417;;;;;;
;WANTZENAU (LA);5 501;;B;2 629;1 979;3 147;3 472;2 100;362;;;;;;
 ;MUNDOLSHEIM;5 317;;B;3 649;2 170;4 799;1 077;5 515;411;;;;;;
 ;ECKBOLSHEIM;5 264;;B;2 716;1 727;3 215;1 027;2 914;579;;;;;;
;REICHSTETT;4 900;;B;2 724;1 772;3 102;1 784;3 430;413;;;;;;
;FEGERSHEIM;4 553;;B;3 762;2 609;4 576;4 658;6 346;371;;;;;;
;ESCHAU;4 436;;B;2 817;1 719;3 668;3 308;3 770;731;;;;;;
;WOLFISHEIM;3 832;;B;3 433;1 503;3 953;1 085;7 725;500;;;;;;
;PLOBSHEIM;3 654;;B;2 769;802;1 988;929;643;565;;;;;;
;pour m‚moire valeurs moyennes (exercice 1997) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;6 663;3 740;7 597;1 238;7 228;1 579;48,5%;99,2%;96,3%;16,3%;0,95;
; - 100 000 … 300 000 hab.;;;;6 839;3 746;7 846;1 198;7 797;1 726;48,1%;102,1%;96,4%;15,3%;0,99;
; -   50 000 …  100 000 hab.;;;;7 259;4 121;8 223;1 261;7 954;1 583;49,1%;99,8%;96,6%;15,3%;0,97;
; -   20 000 …   50 000 hab.;;;;6 682;3 798;7 529;1 203;7 056;1 541;48,9%;99,7%;96,8%;16,0%;0,94;
; -   10 000 …   20 000 hab.;;;;5 891;3 357;6 809;1 202;6 250;1 440;48,1%;93,7%;95,4%;17,6%;0,92;
;;;;;;;;;; *y compris dotation;;; *exclus de la dette les r‚am‚nagements;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;sp‚ciale instituteurs;;;de dette avec emprunts de refinancement;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
