;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2001;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2001 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;4 667;1 947;4 901;1 576;914;474;28,72%;85,64%;108,30%;32,15%;12,13%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;6 526;3 367;7 013;1 727;1 962;1 203;54,85%;77,08%;107,20%;24,62%;16,38%;
;SCHILTIGHEIM;30 991;;A;3 677;2 132;4 200;1 365;2 951;809;57,94%;55,31%;97,15%;32,49%;8,62%;
;ILLKIRCH GRAF.;25 183;;A;3 761;3 131;4 896;910;5 035;747;54,00%;61,00%;91,00%;19,00%;103,00%;
;BISCHHEIM;16 964; ;A;3 650;1 768;4 235;702;6 382;1 240;52,00%;65,30%;99,90%;16,60%;15,07%;
;LINGOLSHEIM;16 860;;A ;2 724;1 221;3 305;337;5 690;956;58,32%;47,83%;100,73%;10,19%;179,15%;
;OSTWALD;10 820;;A;3 358;1 522;3 971;1 024;3 785;1 333;61,55%;47,85%;100,00%;25,78%;95,31%;
;HOENHEIM;10 718;;A;2 544;1 298;3 104;494;1 034;962;55,64%;50,03%;85,49%;15,90%;38,12%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 031;;B;3 085;1 801;3 884;2 489;5 100;443;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;2 436;1 255;2 896;553;829;562;;;;;;
;ECKBOLSHEIM;5 937;;B;2 575;1 450;2 981;1 306;2 189;548;;;;;;
;VENDENHEIM;5 629;;B;3 365;2 660;3 990;918;0;441;;;;;;
;WANTZENAU (LA);5 501;;B;3 014;2 072;3 468;1 330;4 298;374;;;;;;
 ;MUNDOLSHEIM;5 317;;B;3 876;2 276;4 864;1 447;5 056;412;;;;;;
;REICHSTETT;4 882;;B;2 679;1 669;3 050;1 037;3 239;400;;;;;;
;FEGERSHEIM;4 553;;B;3 598;2 601;3 944;451;4 910;362;;;;;;
;OBERHAUSBERGEN;4 540;;B;2 405;2 122;3 414;2 444;3 042;341;;;;;;
;ESCHAU;4 436;;B;3 261;1 666;3 842;5 202;3 389;801;;;;;;
;WOLFISHEIM;3 832;;B;2 831;1 452;3 240;392;6 963;568;;;;;;
;PLOBSHEIM;3 654;;B;2 811;798;2 172;1 054;557;566;;;;;;
;pour m‚moire valeurs moyennes (exercice 1999) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;7 412;3 249;8 642;1 362;7 981;1 867;48,9%;99,8%;93,1%;15,8%;0,92;
; - 100 000 … 300 000 hab.;;;;6 865;3 663;7 958;1 289;6 941;1 754;49,7%;100,4%;95,0%;16,2%;0,87;
; -   50 000 …  100 000 hab.;;;;7 680;4 314;8 764;1 516;8 190;1 640;50,5%;97,5%;95,8%;17,3%;0,93;
; -   20 000 …   50 000 hab.;;;;6 823;3 733;7 825;1 354;6 919;1 594;51,2%;100,0%;95,5%;17,3%;0,88;
; -   10 000 …   20 000 hab.;;;;5 960;3 392;7 052;1 356;6 008;1 446;49,8%;93,3%;93,7%;19,2%;0,85;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
