;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2003;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2003 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;864;390;932;278;104;75;24,38%;63,66%;99,74%;29,83%;11,15%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 092;387;1 157;372;308;181;55,98%;54,64%;106,48%;32,15%;26,58%;
;SCHILTIGHEIM;30 991;;A;608;289;692;220;398;129;59,17%;;97,75%;31,75%;0,58%;
;ILLKIRCH GRAF.;25 183;;A;666;354;856;192;539;120;53,39%;60,64%;89,21%;22,48%;63,05%;
;BISCHHEIM;16 964; ;A;645;312;725;141;1 038;201;52,70%;67,90%;103,20%;19,50%;143,20%;
;LINGOLSHEIM;16 860;;A ;;272;590;169;763;132;54,79%;101,10%;95,59%;28,59%;129,23%;
;OSTWALD;10 820;;A;628;282;679;309;454;184;54,48%;;97,45%;45,52%;66,83%;
;HOENHEIM;10 767;;A;482;265;536;84;168;124;50,86%;97,17%;94,43%;15,64%;31,42%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 071;;B;543;289;606;336;733;71;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;596;299;623;205;195;91;;;;;;
;ECKBOLSHEIM;5 967;;B;505;317;554;414;340;90;;;;;;
;VENDENHEIM;5 629;;B;1 181;379;697;775;0;71;;;;;;
;WANTZENAU (LA);5 501;;B;515;341;612;197;785;61;;;;;;
;MUNDOLSHEIM;5 317;;B;676;345;821;280;748;65;;;;;;
;REICHSTETT;4 900;;B;480;301;562;399;558;63;;;;;;
;FEGERSHEIM;4 553;;B;550;352;702;194;826;63;;;;;;
;OBERHAUSBERGEN;4 540;;B;388;293;544;255;;47;;;;;;
;ESCHAU;4 429;;B;467;320;597;558;;92;;;;;;
;WOLFISHEIM;3 850;;B;581;291;576;35;887;79;;;;;;
;PLOBSHEIM;3 654;;B;669;232;676;316;56;95;;;;;;
;pour m‚moire valeurs moyennes (exercice 2001) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;1 067;428;1 239;271;1 224;234;55,5%;103,3%;94,1%;21,9%;0,99%;
; - 100 000 … 300 000 hab.;;;;1 034;469;1 200;231;1 027;234;52,0%;110,2%;95,8%;19,2%;0,86%;
; -   50 000 …  100 000 hab.;;;;1 201;568;1 364;268;1 264;221;52,3%;96,4%;96,7%;19,7%;0,93%;
; -   20 000 …   50 000 hab.;;;;1 065;502;1 215;235;1 064;218;53,4%;103,1%;96,3%;19,4%;0,88%;
; -   10 000 …   20 000 hab.;;;;933;445;1 095;250;925;194;52,3%;97,3%;94,4%;22,9%;0,84%;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
