;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 1995;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 1995 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du;fonct.+am.dette/;brut/rec. ;la dette/rec.;
;;;;;(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);(F/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;430 942; ;;3 171;1 716;3 744;1 667;1 587;440;38,61%;89,71%;89,90%;44,52%;42,38%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;255 937;;A;5 700;3 009;6 107;1 025;2 963;1 316;51,43%;88,87%;97,93%;16,79%;48,52%;
;SCHILTIGHEIM;29 330;;A;3 278;2 141;3 721;815;4 171;1 017;49,20%;58,80%;96,50%;21,90%;17,60%;
;ILLKIRCH GRAF.;23 738;;A;3 286;2 224;3 741;1 431;5 250;860;41,00%;61,00%;110,00%;38,00%;140,00%;
;LINGOLSHEIM;16 496;;A;2 449;967;2 560;822;7 033;841;51,23%;41,74%;115,21%;32,09%;274,67%;
;BISCHHEIM;16 346; ;A;3 121;1 415;3 320;295;6 320;1 253;48,25%;63,70%;107,11%;10,61%;190,38%;
;HOENHEIM;10 587;;A;2 392;994;2 618;791;1 146;848;51,39%;49,93%;97,70%;30,22%;43,79%;
;OSTWALD;10 211;;A;2 485;1 061;2 734;962;3 623;995;54,57%;43,14%;99,84%;35,16%;132,51%;
;;;;;;;;;;;;;;;;
;SOUFFELWEYERSHEIM;5 607;;B;1 961;1 204;2 408;710;2 067;632;;;;;;
;GEISPOLSHEIM;5 555;;B;1 981;1 748;2 824;4 555;2 829;548;;;;;;
 ;ECKBOLSHEIM;5 264;;B;1 893;1 362;2 439;913;237;636;;;;;;
;VENDENHEIM;5 210;;B;2 642;2 513;3 460;2 053;2 416;576;;;;;;
 ;MUNDOLSHEIM;5 433;;B;3 077;1 791;3 370;2 616;1 395;486;;;;;;
;REICHSTETT;4 653;;B;2 371;1 352;2 371;2 315;2 328;513;;;;;;
;WANTZENAU (LA);4 401;;B;3 041;1 982;3 041;698;2 737;563;;;;;;
;FEGERSHEIM;3 962;;B;2 529;2 129;3 214;923;5 033;523;;;;;;
;ESCHAU;3 833;;B;1 850;1 400;2 536;589;2 875;617;;;;;;
;;;;;;;;;;;;;;;;
;pour m‚moire valeurs moyennes (exercice 1992) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;5 538;2 859;6 188;1 534;6 505;1 477;0,46;1,01;0,97;0,25;1,05;
; - 100 000 … 300 000 hab.;;;;5 823;2 889;6 490;1 564;6 855;1 604;0,44;1,04;0,98;0,24;1,06;
; -   20 000 …   50 000 hab.;;;;5 988;3 156;6 645;1 520;6 981;1 497;0,48;1,00;0,98;0,23;1,05;
; -   10 000 …   20 000 hab.;;;;4 864;2 558;5 504;1 619;5 838;1 330;0,46;0,96;0,96;0,29;1,06;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;; ;                RACUBP95;
;;;;;;;;;;;;;;;;
