;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;page 67;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2006;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2006 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8bis -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;457 928; ;;837;402;994;597;179;242;23,20%;123,94%;0,86,19;60,03%;18,04%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 147;443;1 243;430;652;200;55,75%;99,42%;98,22%;34,63%;52,44%;
;SCHILTIGHEIM;30 991;;A;667;315;758;263;483;136;59,92%;;97,02%;34,64%;0,64%;
;ILLKIRCH GRAF.;25 183;;A;743;390;902;542;258;124;56,59%;100,30%;91,61%;60,08%;28,59%;
;BISCHHEIM;16 964; ;A;696;379;813;169;1 092;211;57,00%;10,77%;98,60%;20,70%;1,35%;
;LINGOLSHEIM;16 860;;A ;509;290;610;84;488;135;56,06%;102,35%;98,65%;13,71%;80,14%;
;OSTWALD;10 820;;A;649;311;702;530;520;157;58,44%;;94,64%;75,49%;74,18%;
;HOENHEIM;10 767;;A;578;325;609;109;319;151;0,50%;;0,99%;0,18%;0,52%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 031;;B;552;306;742;487;507;70;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;596;299;623;205;195;91;;;;;;
;ECKBOLSHEIM;5 937;;B;624;379;672;337;473;95;;;;;;
;VENDENHEIM;5 720;;B;778;422;807;685;370;90;;;;;;
;WANTZENAU (LA);5 501;;B;577;396;768;406;538;93;;;;;;
;MUNDOLSHEIM;5 317;;B;791;387;903;111;1 233;88;;;;;;
;REICHSTETT;4 900;;B;513;336;602;115;663;85;;;;;;
;FEGERSHEIM;4 533;;B;744;436;847;424;683;84;;;;;;
;OBERHAUSBERGEN;4 540;;B;388;293;544;255;330;47;;;;;;
;ESCHAU;4 429;;B;550;360;695;230;288;100;;;;;;
;WOLFISHEIM;3 832;;B;587;310;584;51;728;80;;;;;;
;PLOBSHEIM;3 654;;B;603;272;558;466;203;94;;;;;;
;pour m‚moire valeurs moyennes (exercice 2004) :;;;;;;;;;;;;;;;
; - moyenne nationale hors Paris  ;;;;908;496;1 006;457;829;232;49,1%;100,4%;99,0%;0,82%;45,4%;
; + de 100 000 hab. hors Paris;;;;1 099;643;1 211;292;1 019;260;53,3%;118,8%;97,0%;0,84%;24,1%;
; -   50 000 …  100 000 hab.;;;;1 276;721;1 406;348;1 225;315;53,1%;96,3%;99,0%;0,87%;24,7%;
; -   20 000 …   50 000 hab.;;;;1 138;647;1 263;340;1 041;285;54,6%;103,9%;98,5%;0,82%;26,9%;
; -   10 000 …   20 000 hab.;;;;1 012;608;1 143;380;885;244;53,5%;107,7%;97,2%;0,77%;33,3%;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
