;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2009;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2008 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8bis -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;dette recalcul‚e ;;;;;;;
;;;;;;;;;avec pop. Recens.2009;;;;;;;
;COMMUNAUTE URBAINE;473 828; ;;976;431;1 055;311;441;249;21,49%;128,93%;96,12%;29,47%;43,42%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;276 867;;A;1 177;477;1 263;309;404;233;58,89%;99,99%;96,79%;24,47%;33,19%;
;SCHILTIGHEIM;31 477;;A;766;347;839;248;352;143;59,14%;;96,64%;29,53%;0,43%;
;ILLKIRCH GRAF.;27 047;;A;820;431;999;204;318;130;58,25%;;87,31%;20,43%;34,00%;
;BISCHHEIM;18 055; ;A;802;424;903;145;893;239;56,20%;95,20%;99,20%;16,10%;1,09%;
;LINGOLSHEIM;16 955;;A ;549;314;676;202;0;148;56,72%;;81,13%;29,81%;0,00%;
;OSTWALD;10 795;;A;623;342;663;253;464;166;56,22%;;96,90%;38,10%;69,83%;
;HOENHEIM;10 729;;A;611;358;678;205;251;168;53,00%;;94,00%;30,00%;37,00%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 152;;B;651;368;736;922;436;97;;;;;;
;ECKBOLSHEIM;6 409;;B;649;421;712;824;414;100;;;;;;
;SOUFFELWEYERSHEIM;6 281;;B;728;434;842;712;1 130;101;;;;;;
;WANTZENAU (LA);5 892;;B;586;421;733;136;438;99;;;;;;
;VENDENHEIM;5 751;;B;775;437;818;528;616;90;;;;;;
;FEGERSHEIM;5 173;;B;759;552;997;361;1 070;97;;;;;;
;MUNDOLSHEIM;5 122;;B;816;414;868;315;963;95;;;;;;
;ESCHAU;4 806;;B;620;406;724;658;611;93;;;;;;
;REICHSTETT;4 603;;B;542;359;630;179;505;88;;;;;;
;OBERHAUSBERGEN;4 457;;B;388;293;544;255;;47;;;;;;
;WOLFISHEIM;3 983;;B;590;369;693;71;523;86;;;;;;
;PLOBSHEIM;3 687;;B;515;320;645;329;142;97;;;;;;
;pour m‚moire valeurs moyennes (exercice 2008) :;;;;;;;;;;;;;;;
; - moyenne nationale hors Paris  ;;;;995;418;1 073;538;n.d.;248;50,20%;103,40%;101,20%;50,20%;n.d.;
; + de 100 000 hab. hors Paris;;;;1 195;496;1 304;329;n.d.;280;53,60%;120,50%;100,80%;25,20%;n.d.;
; -   50 000 …  100 000 hab.;;;;1 390;600;1 504;435;n.d.;344;55,40%;107,60%;100,10%;28,90%;n.d.;
; -   20 000 …   50 000 hab.;;;;1 240;533;1 336;420;n.d.;304;56,40%;111,60%;100,50%;31,40%;n.d.;
; -   10 000 …   20 000 hab.;;;;1 104;467;1 203;458;n.d.;258;55,50%;113,20%;99,40%;38,10%;n.d.;
; -    5 000 …   10 000 hab.;;;;967;425;1 072;563;n.d.;230;52,30%;103,20%;98,10%;52,50%;n.d.;
; -    3 500 …    5 000 hab.;;;;828;374;928;599;n.d.;210;49,00%;98,70%;98,00%;64,50%;n.d.;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
