;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;page 65;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2004;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2004 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;930;400;955;363;88;73;19,34%;65,36%;99,58%;38,03%;9,19%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 157;415;1 228;442;441;182;53,43%;58,54%;99,21%;36,00%;35,92%;
;SCHILTIGHEIM;30 991;;A;636;299;732;454;460;131;58,88%;;95,00%;62,02%;0,63%;
;ILLKIRCH GRAF.;25 183;;A;703;366;907;380;442;122;54,17%;46,63%;88,24%;41,90%;48,72%;
;BISCHHEIM;16 964; ;A;680;341;759;154;1 001;199;55,10%;64,30%;101,40%;20,20%;131,80%;
;LINGOLSHEIM;16 860;;A ;472;281;595;141;677;130;52,72%;99,81%;93,83%;23,71%;113,71%;
;OSTWALD;10 820;;A;793;293;815;286;586;179;43,12%;;101,02%;35,04%;71,93%;
;HOENHEIM;10 767;;A;482;265;536;84;190;124;50,86%;97,17%;94,43%;15,64%;31,42%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 071;;B;543;289;606;336;656;71;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;596;299;623;205;245;91;;;;;;
;ECKBOLSHEIM;5 967;;B;506;341;573;407;445;89;;;;;;
;VENDENHEIM;5 629;;B;814;368;713;480;435;71;;;;;;
;WANTZENAU (LA);5 501;;B;542;355;630;163;667;62;;;;;;
;MUNDOLSHEIM;5 317;;B;708;366;826;354;772;78;;;;;;
;REICHSTETT;4 900;;B;487;555;316;329;812;64;;;;;;
;FEGERSHEIM;4 553;;B;577;386;743;205;938;64;;;;;;
;OBERHAUSBERGEN;4 540;;B;388;293;544;255;397;47;;;;;;
;ESCHAU;4 429;;B;446;335;636;509;352;92;;;;;;
;WOLFISHEIM;3 850;;B;587;310;584;51;807;80;;;;;;
;PLOBSHEIM;3 654;;B;696;245;664;312;40;95;;;;;;
;pour m‚moire valeurs moyennes (exercice 2001) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;1 067;428;1 239;271;1 224;234;55,5%;103,3%;94,1%;21,9%;0,99%;
; - 100 000 … 300 000 hab.;;;;1 034;469;1 200;231;1 027;234;52,0%;110,2%;95,8%;19,2%;0,86%;
; -   50 000 …  100 000 hab.;;;;1 201;568;1 364;268;1 264;221;52,3%;96,4%;96,7%;19,7%;0,93%;
; -   20 000 …   50 000 hab.;;;;1 065;502;1 215;235;1 064;218;53,4%;103,1%;96,3%;19,4%;0,88%;
; -   10 000 …   20 000 hab.;;;;933;445;1 095;250;925;194;52,3%;97,3%;94,4%;22,9%;0,84%;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
