;;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;; Ratios des communes de la Communaut‚ Urbaine de Strasbourg  de 2002;;;;;;;;;;;
;;;;; ;                   SynthŠse des donn‚es jointes aux budgets primitifs de 2002 (*) ;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Population;;;D‚p. r‚elles;Prod. des impo-;Rec. r‚elles;D‚p. d'‚qui-;Encours ;Dot. globale;D‚p. de pers/;Coef. de;D‚p. r‚el. fonct.;D‚p. d'‚quip.;Encours de;
;Communes;totale;;Ratios;de fonction.;sitions directes;de fonction.;pement brut;de la dette;de fonction.;d‚p. r‚elles;mobilis. du; + am.dette /;brut/rec. ;la dette/rec.;
;;;;;(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);(?/hab.);de fonct.;potent. fiscal;rec.r‚el.fonct.;r‚elles fonct.;r‚elles fonct.;
 ;;;;; - 1 -; - 2 -; - 3 -; - 4 -; - 5 -; - 6 -; - 7 -; - 8 -; - 9 -; - 10 -; - 11 -;
;;;;;;;;;;;;;;;;
;COMMUNAUTE URBAINE;456 551; ;;849;382;921;226;122;74;24,22%;78,10%;99,93%;24,54%;13,20%;
;; ;;;;;;;;;;;;;;
;STRASBOURG;267 051;;A;1 017;349;1 085;339;258;185;56,59%;76,11%;31,21%;31,21%;23,65%;
;SCHILTIGHEIM;30 991;;A;593;276;670;195;300;127;57,82%;64,50%;29,06%;29,06%;0,45%;
;ILLKIRCH GRAF.;25 183;;A;624;486;810;219;637;117;53,00%;68,64%;27,00%;27,00%;79,00%;
;BISCHHEIM;16 964; ;A;591;293;682;157;886;163;52,50%;79,23%;23,00%;23,00%;130,00%;
;LINGOLSHEIM;16 944;;A ;464;255;561;63;843;165;55,04%;57,70%;11,21%;11,21%;150,14%;
;OSTWALD;10 820;;A;772;277;818;248;481;181;41,61%;60,92%;30,28%;30,28%;58,84%;
;HOENHEIM;10 767;;A;387;207;477;92;140;127;57,83%;61,31%;19,26%;19,26%;33,33%;
;;;;;;;;;;;;;;;;
;GEISPOLSHEIM;7 071;;B;498;277;584;404;705;69;;;;;;
;SOUFFELWEYERSHEIM;6 054;;B;769;313;98;287;126;85;;;;;;
;ECKBOLSHEIM;5 967;;B;373;223;457;130;334;85;;;;;;
;VENDENHEIM;5 629;;B;672;357;607;769;0;68;;;;;;
;WANTZENAU (LA);5 501;;B;503;317;580;74;760;56;;;;;;
 ;MUNDOLSHEIM;5 317;;B;639;303;798;233;753;63;;;;;;
;REICHSTETT;4 900;;B;421;287;492;335;527;63;;;;;;
;FEGERSHEIM;4 553;;B;515;332;624;100;717;57;;;;;;
;OBERHAUSBERGEN;4 540;;B;388;293;544;255;320;47;;;;;;
;ESCHAU;4 429;;B;504;344;636;634;409;139;;;;;;
;WOLFISHEIM;3 850;;B;558;282;526;19;977;72;;;;;;
;PLOBSHEIM;3 654;;B;594;221;656;628;71;93;;;;;;
;pour m‚moire valeurs moyennes (exercice 2000) :;;;;;;;;;;;;;;;
; - m‚tropole  ;;;;1 112;498;1 312;289;1 223;238;51,7%;98,8%;91,9%;22,0%;0,93%;
; - 100 000 … 300 000 hab.;;;;1 023;503;1 198;245;4;231;51,6%;96,2%;94,7%;20,5%;0,87%;
; -   50 000 …  100 000 hab.;;;;1 177;599;1 350;266;1 250;222;51,8%;92,4%;95,5%;19,7%;0,93%;
; -   20 000 …   50 000 hab.;;;;1 047;530;1 204;239;1 065;218;52,6%;97,4%;95,5%;19,8%;0,88%;
; -   10 000 …   20 000 hab.;;;;911;472;1 087;251;912;195;51,5%;92,4%;93,1%;23,1%;0,84%;
;;;;;;;;;;;;;;;;
;(*) En application de l'article 13 de la loi ATR du 6 f‚vrier 1992  un certain nombre de ratios ;;;;;;;;;;;;;;;
;     doivent figurer dans les annexes … joindre aux documents budg‚taires : ;;;;;;;;;;;;;;;
;        A  - communes de 10 000 hab. et plus  :     ratios 1 … 11;;;;;;;;;;;;;;;
;        B  - communes de 3 500 hab. et plus    :     ratios 1 … 6;;;;;;;;;;;;;;;
;        C - communes inf‚r. … 3 500 hab.         :     dispens‚es de la publication  des ratios;;;;;;;;;;;;;;;
; ; ;;;;;;;;;;;;;;
